cve,descrip
"1","Trabajó por lo menos una hora (tenía trabajo pero no trabajó)"
"2","Vendió o hizo algún producto para vender"
"3","Ayudó en las labores del campo, cría de animales, o en el negocio de un familiar o de otra persona"
"4","A cambio de un pago realizó otro tipo de actividad (lavó o planchó ajeno, cuidó niños)"
"5","Estuvo de aprendiz o haciendo su servicio social"
"6","Buscó trabajo"
"7","Estudia o está en otra situación diferente a las anteriores"
