cve,descrip
"1","Tendría que contratarse a otra persona en el negocio familiar"
"2","El hogar no podría sostenerse económicamente"
"3","El ingreso del hogar se vería disminuido"
"4","La carga de trabajo sería más pesada para los demás"
"5","El hogar tendría que destinar ingresos para los gastos de ella (él)"
"6","Ella (él) ya no podría continuar estudiando"
"7","Otra consecuencia"
"8","No habría consecuencia"
