cve,descrip
"1","Primaria"
"2","Secundaria"
"3","Carrera técnica con secundaria terminada (Profesional técnico)"
"4","Preparatoria o Bachillerato general"
"5","Bachillerato tecnológico"
"6","Carrera técnica con bachillerato terminado (Técnico Superior Universitario)"
"7","Licenciatura"
"8","Posgrado"
"9","No sabe"
